Name,Data Type,Definition,Formula,Use Case,Source,Format,Example
Average Longitude,Decimal,Average of all latitudes per the filter context,Sum of Latitudes / Count of Latitudes,Outline county on visual map,{tblAssignedStructures[Latitude]},,72.5843
Average Longitude,Decimal,Average of all longitudes per the filter context,Sum of Longitudes / Count of Longitudes,Outline county on visual map,{tblAssignedStructures[Longitude]},,72.5843
Maximum Square Footage Inspected,Integer,The maximum total square footage per the filter context,MAX(SUM((Deck Width * Structure Length){1..i})),,[Total Square Footage Assigned] / {tblAssignments[Month Assigned]},,"15,000"
Maximum Square Footage Inspected_MONTHNAME,Text,The month name of the maximum total square footage per the filter context,N/A,Reveal the month in which the maximum total square footage was inspected in a year,[Maximum Square Footage Inspected],MMMM,January
Monthly Average Square Footage Inspected,Decimal,Average square footage inspected in a year,SUM([Total Assigned Square Footage]{month 1-i})/total count of months inspected,,[Total Square Footage Assigned] / {tblAssignments[Month Assigned]},,"5,624"
Square Footage Assigned Comparision by Year,Integer,Numerical difference in square footage assigned by NCDOT between a year and it's previous year,[Total Assigned Square Footage]{year 2} - [Total Assigned Square Footage]{year 1},Gain insight on the growth or deline in square footage assigned,[Total Assigned Square Footage] / {tblAssignments[Year Assigned]},,4510
Square Footage Assigned Comparision by Year_DESCR,Text,The description of the numerical difference in square footage assigned by NCDOT between a year and it's previous year,N/A,When a written description is needed to describe the comparision between a year and it's previous year,[Square Footage Assigned Comparision by Year],,more / less
Square Footage Assigned Comparision by Year_DESCR2,Text,The sentence conjunction of the numerical difference in square footage assigned by NCDOT between a year and it's previous year,N/A,Dynamic conjunction to accurate describe data in a sentence,[Square Footage Assigned Comparision by Year],,and / but
Square Footage Bin Size, Integer, 1500 -- Size for groupings of Square Footage,,Visualization to compare distributions,,,
Structures Assigned Comparision by Year,Integer,Numerical difference in structures assigned by NCDOT between a year and it's previous year,[Total Assigned Structures]{year 2} - [Total Assigned Structrues]{year 1},Gain insight on the growth or deline in structures assigned,[Total Assigned Structures] / {tblAssignments[Year Assigned]},,15
Structures Assigned Comparison by Year_DESCR,Text,The description of the numerical difference in structures assigned by NCDOT between a year and it's previous year,N/A,When a written description is needed to describe the comparision between a year and it's previous year,[Structures Assigned Comparision by Year],,more / less
Total Counties Assigned,Integer,Total count of distinct counties assigned by NCDOT,COUNT(Distinct Counties),,{tblAssignedStructures [County]},Uppercase,ANSON
Total Counties Visited to Month,Integer,Total count of distinct counties visited excluding the current month,COUNT(Distinct Counties{excluding current month}),,{tblAssignedStructures[County]},Uppercase,WAKE
Total Square Footage Assigned,Integer,Total square footage assigned by NCDOT,SUM((Deck Width * Structure)),,{tblAssignedStructures[Deck Width]} / {tblAssignedStructures[Structure Length]},,"798,689"
Total Square Footage Inspected to Month,Integer,Total square footage inspected excluding the current month,SUM((Deck Width * Structure){excluding current month}),,[Total Square Footage Assigned],,"54,658"
Total Structures Assigned,Integer,Total count of structures assigned by NCDOT,COUNT(Structures Assigned),,{tblAssignedStructures[Structure Numbers]},,200
Total Structures Inspected to Month,Integer,Total count of structures inspected excluding the current month,COUNT(Structures Assigned{excluding current month}),,[Total Structures Assiged],,52
Year In Review,Integer,Year per filter context,N/A,When the year is needed as a visual in a report to show filter context,{tblAssignments[Year Assigned]},,2026